Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2016-01-31,1918.6,43.553333333333,86.5,236.916,2.09,2024.3648940975,45.954257803047,91.268405785173,24.206167203878
2016-02-29,1904.42,43.716666666667,86.47,237.111,1.78,2007.7506738405,46.088660567554,91.161718931218,24.00260677729
2016-03-31,2021.95,43.88,86.44,238.132,1.89,2122.5180936938,46.062510918314,90.739367451665,25.372298620188
2016-04-30,2075.54,44.073333333333,86.6,239.261,1.81,2168.4925914587,46.047147640722,90.478361496441,25.922337543674
2016-05-31,2065.55,44.266666666667,86.76,240.229,1.81,2149.3593329178,46.062778987272,90.280271948849,25.69470992345
2016-06-30,2083.89,44.46,86.92,241.018,1.64,2161.3448274092,46.112506431055,90.150676090582,25.840372927671
2016-07-31,2148.9,44.65,87.643333333333,240.628,1.5,2232.3834450895,46.384625074804,91.04822300051,26.694003256096
2016-08-31,2170.95,44.84,88.366666666667,240.849,1.56,2253.2206483627,46.539263397398,91.715423183544,26.948872433724
2016-09-30,2157.69,45.03,89.09,241.428,1.63,2234.0874085131,46.62437885208,92.244412878788,26.727873346479
2016-10-31,2143.02,45.253333333333,90.91,241.729,1.76,2216.135024242,46.797275323468,94.011644806788,26.525143085071
2016-11-30,2164.99,45.476666666667,92.73,241.353,2.14,2242.3424672057,47.101492816884,96.043130445861,26.850953531056
2016-12-31,2246.63,45.7,94.55,241.432,2.49,2326.1379706812,47.317317609099,97.896113346615,27.865098223924
2017-01-31,2275.12,45.926666666667,96.463333333333,242.839,2.43,2341.9877610269,47.276491454558,99.298474829688,28.063573742124
2017-02-28,2329.91,46.153333333333,98.376666666667,243.603,2.42,2390.8661413755,47.360817361308,100.95044076154,28.655106525184
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2426.7693242645,47.554761772921,102.83025136279,29.086921742465
2017-04-30,2359.31,46.66,101.53333333333,244.524,2.3,2411.9164842204,47.700396791317,103.79726291352,28.904245956275
2017-05-31,2395.35,46.94,102.77666666667,244.733,2.3,2446.6688613203,47.945659861972,104.97859185657,29.313344980271
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2483.8835408034,48.187946867792,106.15227092731,29.748503240633
2017-07-31,2454.1,47.536666666667,105.04,244.786,2.32,2506.1348080568,48.54459679407,107.26718562336,30.002220744019
2017-08-31,2456.22,47.853333333333,106.06,245.519,2.21,2500.8111990314,48.72208186196,107.98545560629,29.914959397497
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2524.7278169428,48.786179194065,108.44974191614,30.168114410679
2017-10-31,2557.0,48.423333333333,108.01333333333,246.663,2.36,2591.3463764326,49.073769795902,109.46420021108,30.920393290334
2017-11-30,2593.61,48.676666666667,108.94666666667,246.669,2.35,2628.3841981056,49.32930605724,110.40738472744,31.29891333388
2017-12-31,2664.34,48.93,109.88,246.524,2.4,2701.6506381732,49.61520141041,111.41872738557,32.086132007706
2018-01-31,2789.8,49.286666666667,,247.867,2.58,2813.5400930741,49.706076679563,,33.307343828031
2018-02-28,2705.16,49.643333333333,,248.991,2.86,2715.864237864,49.839770530528,,32.124245724678
